feature,target,n,spearman_rho,abs_spearman_rho,p_value,feature_median,target_median,q_value_bh
nrem_second_half_lf_hf_ratio,SatBelow90,209,-0.3717473772559011,0.3717473772559011,2.991156721410152e-08,2.239195,0.62,1.5396669019650493e-07
nrem_second_half_lf_hf_fixed_mean,SatBelow90,209,-0.3717473772559011,0.3717473772559011,2.991156721410152e-08,2.239195,0.62,1.5396669019650493e-07
nrem_second_half_lf_hf_ratio,ODI,209,-0.36321587742576444,0.36321587742576444,6.473777103688488e-08,2.239195,4.19,3.2945085574791676e-07
nrem_second_half_lf_hf_ratio,ODI_4_Percent,209,-0.36321587742576444,0.36321587742576444,6.473777103688488e-08,2.239195,4.19,3.2945085574791676e-07
nrem_second_half_lf_hf_fixed_mean,ODI,209,-0.36321587742576444,0.36321587742576444,6.473777103688488e-08,2.239195,4.19,3.2945085574791676e-07
nrem_second_half_lf_hf_fixed_mean,ODI_4_Percent,209,-0.36321587742576444,0.36321587742576444,6.473777103688488e-08,2.239195,4.19,3.2945085574791676e-07
nrem_second_half_lf_hf_ratio,REM_ODI,207,-0.3621986245154602,0.3621986245154602,8.195098376852175e-08,2.244478,6.05,4.1308278290979017e-07
nrem_second_half_lf_hf_fixed_mean,REM_ODI,207,-0.3621986245154602,0.3621986245154602,8.195098376852175e-08,2.244478,6.05,4.1308278290979017e-07
combo_all_sleep_lf_hf_fixed_median,SatBelow90,211,-0.36183891318996686,0.36183891318996686,6.33077049083265e-08,1.636432,0.62,3.233016944180036e-07
nrem_second_half_lf_hf_fixed_median,SatBelow90,209,-0.3593421874420665,0.3593421874420665,9.124651103302208e-08,1.564162,0.62,4.5874970029705586e-07
nrem_second_half_lf_hf_ratio,MinSatValue,209,0.35802110996144243,0.35802110996144243,1.02470840230253e-07,2.239195,87.0,5.142942686943507e-07
nrem_second_half_lf_hf_fixed_mean,MinSatValue,209,0.35802110996144243,0.35802110996144243,1.02470840230253e-07,2.239195,87.0,5.142942686943507e-07
nrem_second_half_lf_hf_fixed_median,ODI,209,-0.3550213702691587,0.3550213702691587,1.3309465246062472e-07,1.564162,4.19,6.645616550944893e-07
nrem_second_half_lf_hf_fixed_median,ODI_4_Percent,209,-0.3550213702691587,0.3550213702691587,1.3309465246062472e-07,1.564162,4.19,6.645616550944893e-07
combo_wake_sleep_lf_hf_fixed_median,SatBelow90,213,-0.3547208625732458,0.3547208625732458,1.0345618578070372e-07,1.661756,0.62,5.187931861333311e-07
nrem_second_half_lf_hf_ratio,DesatBurdenOverall,209,-0.353171113063066,0.353171113063066,1.561790512392883e-07,2.239195,55.0,7.778276915691967e-07
